Id,Id2,Geography,Total,English Only,Spanish,French,French Creole,Portuguese,Russian,Chinese,Estimate; Total: - Speak only English,Estimate; Total: - Spanish or Spanish Creole:,"Estimate; Total: - French (incl. Patois, Cajun):",Estimate; Total: - French Creole:,Estimate; Total: - Portuguese or Portuguese Creole:,Estimate; Total: - Russian:,Estimate; Total: - Chinese:
1400000US12086002703,12086002703,"Census Tract 27.03, Miami-Dade County, Florida",5758,42.2,47.3,2.2,1.6,1.9,0.0,0.0,2428,2723,129,93,109,0,0
1400000US12086002705,12086002705,"Census Tract 27.05, Miami-Dade County, Florida",2840,32.9,59.4,1.3,0.0,0.8,0.0,0.0,933,1687,36,0,24,0,0
1400000US12086002706,12086002706,"Census Tract 27.06, Miami-Dade County, Florida",3806,32.2,64.2,0.4,0.0,1.6,0.3,0.0,1227,2443,17,0,60,13,0
1400000US12086002800,12086002800,"Census Tract 28, Miami-Dade County, Florida",1361,62.2,32.8,0.0,4.8,0.0,0.3,0.0,846,446,0,65,0,4,0
1400000US12086002900,12086002900,"Census Tract 29, Miami-Dade County, Florida",6515,17.2,80.8,0.5,1.2,0.0,0.0,0.0,1121,5266,32,75,0,0,0
1400000US12086003001,12086003001,"Census Tract 30.01, Miami-Dade County, Florida",2088,49.6,44.0,0.3,2.0,0.0,0.0,0.0,1035,919,7,41,0,0,0
1400000US12086003003,12086003003,"Census Tract 30.03, Miami-Dade County, Florida",5937,6.0,91.7,0.0,2.1,0.0,0.0,0.0,355,5442,0,124,0,0,0
1400000US12086003004,12086003004,"Census Tract 30.04, Miami-Dade County, Florida",4920,21.5,75.7,0.0,0.5,0.0,0.0,0.3,1056,3725,0,25,0,0,13
1400000US12086003100,12086003100,"Census Tract 31, Miami-Dade County, Florida",4082,70.2,24.1,0.3,5.3,0.1,0.0,0.0,2867,982,11,216,6,0,0
1400000US12086003400,12086003400,"Census Tract 34, Miami-Dade County, Florida",1689,73.7,18.0,0.7,6.2,0.0,0.0,0.0,1245,304,12,104,0,0,0
